,High,Low,Open,Close,us_Volume
2017-12-01 00:00:00,436.605650245623,431.4877470515398,432.12417822720005,435.2863096776645,272805.34498744
2017-12-01 00:05:00,437.55226035054704,434.1124987430368,435.5702452443234,437.4187023330008,434417.79515418
2017-12-01 00:10:00,438.40988688667284,433.7643383513056,436.0936238872189,437.30553783599925,564754.81229952
2017-12-01 00:15:00,437.6370544277533,433.06873480392824,436.42368547868983,435.4974316362129,388921.49498019
2017-12-01 00:20:00,435.4974316349,432.26271648000005,435.07946874178117,434.88138864120884,436710.99882845
2017-12-01 00:25:00,437.18357128351624,431.72919900130825,434.2054113300543,434.3307924751333,514055.52291563
2017-12-01 00:30:00,437.1954456,433.0901851776605,434.3744247542607,435.90306759956445,160674.19847435
2017-12-01 00:35:00,436.57992450007333,433.74070739956665,435.90126580000003,433.7868412338659,169640.87241382
2017-12-01 00:40:00,437.7269539448254,431.1718165702612,433.976850013872,434.01423960063266,348410.87464906
2017-12-01 00:45:00,435.8714169972628,427.15065008,433.7647352648147,427.93275750000004,644132.1925267
2017-12-01 00:50:00,431.3723476327844,424.0954174225295,428.3671686061823,427.9669502452954,554541.202255
2017-12-01 00:55:00,431.23921588485797,425.81607600130354,430.00541575875536,430.0377026246852,431311.41053885
2017-12-01 01:00:00,431.85399795152364,422.25761619620386,430.1249205030629,426.440414722847,472435.36755423
2017-12-01 01:05:00,427.99874730831,421.7444739007238,424.66331071262437,424.5669448860614,665018.76572864
2017-12-01 01:10:00,429.84010628639817,421.11444753128524,422.8203730392775,424.7899175734491,523401.28052505
2017-12-01 01:15:00,429.695132810827,424.49360749443196,425.22393128,427.46843844672657,354438.72281856
2017-12-01 01:20:00,429.02643328864315,422.54145458768096,427.74819820867697,424.8091805035834,113843.03945462
2017-12-01 01:25:00,428.0277665512752,419.3810625442004,424.52109719475897,422.5447843275712,319382.33805327
2017-12-01 01:30:00,427.631687859118,421.67604693553506,422.5505370037,423.29624669693163,308149.00759519
2017-12-01 01:35:00,428.7568431359807,423.3320741752604,424.183338725271,427.1219864004386,230377.34574074
2017-12-01 01:40:00,429.9135507785773,424.70804814218894,427.3459465243095,424.9657768764805,204829.26373497
2017-12-01 01:45:00,430.29115063332245,424.4030849449598,425.1704,428.1492665406744,158050.21319835
2017-12-01 01:50:00,429.4964405687339,424.98137397,428.07360000000006,425.3611920811962,237289.96482039
2017-12-01 01:55:00,427.5774392879104,424.199527,426.0617492790856,427.1630761445817,90832.04186698
2017-12-01 02:00:00,428.48217739648067,420.03907204462917,427.1630761419478,423.2024628,515817.19536132
2017-12-01 02:05:00,426.6257659042226,420.70362636992485,422.3743732,422.43434359649433,153631.38253949
2017-12-01 02:10:00,427.1217110334005,420.7036263694866,421.3560736934699,424.65152539916267,159642.18119452
2017-12-01 02:15:00,427.9196925658282,422.01124602131256,424.7769351009328,424.2227844413194,376566.42207864
2017-12-01 02:20:00,428.62251828267097,418.8549950205982,424.2220127613194,421.62357816609654,348453.90815226
2017-12-01 02:25:00,424.43654311111897,418.5266343581089,424.40375831709946,422.37907746120044,223356.51817066
2017-12-01 02:30:00,425.5257051421704,418.3780197827648,421.6150290983283,423.62940677954333,743438.48893948
2017-12-01 02:35:00,427.6337121216086,420.8072553812511,423.6291185303879,426.1964444850254,159959.11997403
2017-12-01 02:40:00,429.79565519734695,423.8374382524993,426.293988257112,425.2310874489804,245286.83339638
2017-12-01 02:45:00,431.07747988999995,424.118281356772,426.23283307967984,428.1862517230373,137998.63541683
2017-12-01 02:50:00,430.40868607,426.3790549440832,428.7654669165519,429.03469999736603,96900.61273392
2017-12-01 02:55:00,430.6756603600001,427.2290424070411,430.01199999780005,429.45899621721435,142731.86840124
2017-12-01 03:00:00,431.01991196723793,427.4923575,429.459778563103,429.675285,63640.70027065
2017-12-01 03:05:00,430.8524025,425.2910332447985,428.75741999999997,427.13949999955963,251142.99579628
2017-12-01 03:10:00,429.232648782753,425.1880627030779,427.13950000000006,427.09448399867716,72353.24866988
2017-12-01 03:15:00,428.8512487030819,423.72009630351994,427.6770000386754,424.16192800132,193805.22698878
2017-12-01 03:20:00,425.5371704004415,422.6550325217731,423.94202335132,423.6654734004404,120117.34728789999
2017-12-01 03:25:00,426.11927743837555,422.4072959903199,425.37776163164324,423.822759,73132.57285362
2017-12-01 03:30:00,426.841692263816,422.4480000004401,423.97763195261547,426.15084030809163,139347.44337431
2017-12-01 03:35:00,427.21395852900815,422.5196445527142,425.8710578463365,425.7557438273755,218669.31275185
2017-12-01 03:40:00,427.3208356266718,423.54474513049706,425.7557437691304,426.1940036059474,74795.12103537
2017-12-01 03:45:00,427.17693851999996,425.246481653954,426.1094114100148,426.7740613708229,82309.49686174
2017-12-01 03:50:00,430.43422573728213,424.0189502958126,426.7737708808229,427.77455477555264,361817.35417065
2017-12-01 03:55:00,428.67223770000004,424.17336600269135,427.55919015,425.9477425812675,90562.67672861
2017-12-01 04:00:00,425.9469698533074,422.84507145271175,425.94668008032227,423.45776303082266,158463.47927461
2017-12-01 04:05:00,426.468125,423.3807249477222,425.46681861366636,425.27594725000006,153610.81926611
2017-12-01 04:10:00,430.42633756799785,423.7081825447015,425.27594724956,426.2713776065782,423609.6007771
2017-12-01 04:15:00,431.1737240241293,426.88728723325573,426.88728723325573,429.0997071514893,152895.99602484
2017-12-01 04:20:00,435.22088089750537,427.42094135882803,429.17603340000005,431.47014473748743,160860.61628574
2017-12-01 04:25:00,434.99987418,430.2724008096199,433.33210777552495,431.1748850516534,218569.46137933
2017-12-01 04:30:00,435.24137105,429.24317074060866,432.7352597001446,431.9044100949275,226669.62498817
2017-12-01 04:35:00,434.128277033996,428.7666359391817,431.2568380874369,430.0942032857785,132785.84903823
2017-12-01 04:40:00,433.2665206148939,429.22587811183774,430.2122147380797,430.4041715503188,155231.07591833
2017-12-01 04:45:00,432.81676619867704,428.7535938240404,430.4123005259307,428.9549568172481,189870.84157734
2017-12-01 04:50:00,432.2771444881063,428.5648533551098,428.9550543919009,431.27470890409256,58446.59093273
2017-12-01 04:55:00,433.9106371417664,430.6598829013171,431.2747089106808,431.9886459839519,207191.55970493
2017-12-01 05:00:00,433.18917184185915,428.00722366362635,431.9886459865865,429.4962313085473,94848.61465850001
2017-12-01 05:05:00,431.1455718945163,426.2017152626822,430.9168339948099,428.7250709411593,80116.85478260001
2017-12-01 05:10:00,430.62127569999996,426.9405310091238,429.4246298372688,428.1950483569732,148542.86105232
2017-12-01 05:15:00,429.86187728202333,426.34701475,428.4427693431633,427.7240084653801,93631.98098682
2017-12-01 05:20:00,429.3939010237267,426.74512394383055,428.4536201836598,428.39957040353323,80277.41363951
2017-12-01 05:25:00,430.8223302501457,422.812730595105,427.45409649034764,426.026538541026,190090.53005966
2017-12-01 05:30:00,431.8660292075723,424.4146514465526,425.894496339326,426.376917,143164.36345132
2017-12-01 05:35:00,427.04234999999994,421.35825980851564,425.2184836859633,422.23940251105336,447322.39360196
2017-12-01 05:40:00,427.0398524055685,420.46803139833014,422.0372529522074,426.0139302643628,328127.94631057
2017-12-01 05:45:00,425.9023170326204,420.2896019143347,424.3003187646644,422.67081079867773,172501.65367610002
2017-12-01 05:50:00,423.90842387103703,420.63999999472003,421.60056976743874,422.27265485000004,128261.55910888
2017-12-01 05:55:00,424.3790719986694,420.50985960033825,422.31680254,424.20130453999997,110450.49492282
2017-12-01 06:00:00,425.4504644,420.03502358534996,422.52996031867514,423.5475683851246,182907.11218664
2017-12-01 06:05:00,425.8231679810368,423.3918377935694,423.54910752853266,424.52182301848234,128811.66425825
2017-12-01 06:10:00,426.20666625580003,421.21804591999995,424.69490959999996,423.41077520384397,47971.40074486
2017-12-01 06:15:00,424.4861861518996,421.37559555,424.2611892866194,423.8710447432104,104578.41192027
2017-12-01 06:20:00,426.15351699323,420.0301500030765,423.4995101939046,423.19803888031066,130286.17994546
2017-12-01 06:25:00,425.7621669212518,421.55676586486004,422.9041086741551,423.37512966858844,47392.02296763
2017-12-01 06:30:00,426.7103610710598,422.45639593507894,423.576,425.8627033922644,97753.89396885
2017-12-01 06:35:00,426.533230551105,423.16928757899177,425.8614514667022,423.5339229995663,133028.81557343
2017-12-01 06:40:00,427.00367314439586,419.60049628999997,424.5500161412627,422.1120270047656,282166.21268754
2017-12-01 06:45:00,424.46547167200447,418.444425,423.4584442373394,419.54770305955685,488247.14494685
2017-12-01 06:50:00,420.3419352245271,417.45590025708975,420.3418402320423,418.97029072492984,401781.64674844
2017-12-01 06:55:00,421.2580892032347,415.45735088,417.67430283517507,416.9665032,172702.70799779
2017-12-01 07:00:00,419.91871203378145,415.41076278,418.0533828,417.82907590470035,309573.29163296
2017-12-01 07:05:00,419.9094668811139,414.25269199999997,417.8299273920506,416.24898693140244,368259.55824765
2017-12-01 07:10:00,419.07539123609996,413.0121012999999,416.2487055198317,417.554600847774,942140.90421695
2017-12-01 07:15:00,420.78733320720795,414.7267482424,416.33852719579653,417.3322749287037,195924.60817456
2017-12-01 07:20:00,418.7923335196381,414.9078080658877,416.38979650958595,416.81309512941806,123875.19865639
2017-12-01 07:25:00,419.7585318050968,414.97348954756285,418.08457039062785,416.4417818,258641.29295826
2017-12-01 07:30:00,420.8748702554091,416.0977346398826,417.9542623491396,417.3392989996869,62395.24652188
2017-12-01 07:35:00,421.92110875455313,417.3403408060609,417.3403408060609,420.7414948,76392.03262565
2017-12-01 07:40:00,422.7563800684667,419.31999999956,420.97425537313694,420.31599268391,132754.98194472
2017-12-01 07:45:00,421.078673946314,417.3859633446801,421.078673946314,418.8784146515929,68608.29830924
2017-12-01 07:50:00,421.2794717704315,417.15190229013484,419.2162192246203,418.073625,60490.73036258
2017-12-01 07:55:00,422.8567903287414,417.3841713620015,418.95,419.87212274,770840.42612514
2017-12-01 08:00:00,422.3497827113986,419.74597676088007,419.87288602,422.0472570596965,115922.83498727
2017-12-01 08:05:00,424.25162,420.35435715,420.87595187100004,423.27264602250943,221386.30748187
2017-12-01 08:10:00,425.0243224,421.2787471870245,423.2707225665268,421.3009853370467,114190.62665923
2017-12-01 08:15:00,427.148541,419.5566367299411,422.59396122346436,425.8411809911017,186184.50051663
